basisOfRecord,scientificName,family,genus,decimalLatitude,decimalLongitude,stateProvince,country,catalogNumber,institutionCode,locality,county,bio1_2041-2060,bio12_2041-2060
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,8.383875,76.98278,Kerala,India,195565145,iNaturalist,,,28.4,1701.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.173139,78.048149,Uttar Pradesh,India,195581044,iNaturalist,,,25.9,945.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,15.564822,73.837692,Goa,India,195723049,iNaturalist,,,28.3,2893.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,28.492972,77.260148,NCT of Delhi,India,196088109,iNaturalist,,,25.5,851.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,25.140577,71.674225,Rajasthan,India,196536584,iNaturalist,,,28.6,447.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,26.871901,75.813253,Rajasthan,India,196808036,iNaturalist,,,25.7,788.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,26.871942,75.812659,Rajasthan,India,196811223,iNaturalist,,,25.7,788.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,23.037256,72.604556,Gujarat,India,196934808,iNaturalist,,,28.2,1087.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,28.490726,77.116915,NCT of Delhi,India,196997229,iNaturalist,,,25.5,802.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,28.481767,77.111584,NCT of Delhi,India,196997234,iNaturalist,,,25.5,802.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,11.323038,79.243353,Tamil Nadu,India,197107332,iNaturalist,,,29.3,1148.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,11.992431,76.066856,Karnataka,India,197115949,iNaturalist,,,23.2,1967.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,8.67982,77.80721,Tamil Nadu,India,197133985,iNaturalist,,,30.2,766.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,12.830231,74.958937,Karnataka,India,197420014,iNaturalist,,,28.3,3136.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,8.419911,77.60506,Tamil Nadu,India,197439932,iNaturalist,,,29.4,976.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,8.427745,77.594429,Tamil Nadu,India,197516138,iNaturalist,,,29.4,976.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,12.806085,77.536102,Karnataka,India,197600654,iNaturalist,,,25.5,817.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,15.244276,73.938904,Goa,India,197620736,iNaturalist,,,28.3,2597.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,15.244276,73.938904,Goa,India,197620737,iNaturalist,,,28.3,2597.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,15.244276,73.938904,Goa,India,197620740,iNaturalist,,,28.3,2597.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,15.244276,73.938904,Goa,India,197620746,iNaturalist,,,28.3,2597.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,11.744782,78.169776,Tamil Nadu,India,197788238,iNaturalist,,,27.5,908.0
