basisOfRecord,scientificName,family,genus,decimalLatitude,decimalLongitude,stateProvince,country,catalogNumber,institutionCode,locality,county,bio1,bio12
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,8.383875,76.98278,Kerala,India,195565145,iNaturalist,,,27.323698,1646.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,27.173139,78.048149,Uttar Pradesh,India,195581044,iNaturalist,,,25.64,803.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,15.564822,73.837692,Goa,India,195723049,iNaturalist,,,27.1455,3219.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,28.492972,77.260148,NCT of Delhi,India,196088109,iNaturalist,,,25.057,735.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,25.140577,71.674225,Rajasthan,India,196536584,iNaturalist,,,27.519333,329.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,26.871901,75.813253,Rajasthan,India,196808036,iNaturalist,,,25.296,634.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,26.871942,75.812659,Rajasthan,India,196811223,iNaturalist,,,25.296,634.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,23.037256,72.604556,Gujarat,India,196934808,iNaturalist,,,27.532833,776.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,28.490726,77.116915,NCT of Delhi,India,196997229,iNaturalist,,,24.975166,683.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,28.481767,77.111584,NCT of Delhi,India,196997234,iNaturalist,,,24.975166,683.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,11.323038,79.243353,Tamil Nadu,India,197107332,iNaturalist,,,28.546,1079.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,11.992431,76.066856,Karnataka,India,197115949,iNaturalist,,,22.000668,2099.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,8.67982,77.80721,Tamil Nadu,India,197133985,iNaturalist,,,29.249834,738.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,12.830231,74.958937,Karnataka,India,197420014,iNaturalist,,,26.987999,3420.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,8.419911,77.60506,Tamil Nadu,India,197439932,iNaturalist,,,28.447166,966.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,8.427745,77.594429,Tamil Nadu,India,197516138,iNaturalist,,,28.447166,966.0
HUMAN_OBSERVATION,"Pavo cristatus Linnaeus, 1758",Phasianidae,Pavo,12.806085,77.536102,Karnataka,India,197600654,iNaturalist,,,24.472166,797.0
